Index,Word,Syllables,Phonemes
5592,bow,1,2
5593,bow,1,2
5594,Bowden,2,5
5595,Bowden,2,5
5596,Bowe,1,2
5597,bowed,1,3
5598,bowed,1,3
5599,bowel,2,4
5600,bowels,2,5
5601,bowels,1,4
5602,bower,2,3
5603,Bowers,2,4
5604,Bowery,3,4
5605,Bowie,2,3
5606,bowing,2,4
5607,bowing,2,4
5608,Bowker,2,4
5609,bowl,1,3
5610,bowled,1,4
5611,bowler,2,4
5612,bowlers,2,5
5613,Bowles,1,4
5614,bowlin,2,5
5615,bowline,2,5
5616,bowling,2,5
5617,bowls,1,4
5618,Bowman,2,5
5619,bowmen,2,5
5620,bows,1,3
5621,bows,1,3
5622,Bowser,2,4
5623,box,1,4
5624,boxcar,2,7
5625,boxcars,2,8
5626,boxed,1,5
5627,boxer,2,5
5628,boxers,2,6
5629,boxes,2,6
5630,boxes,2,6
5631,boxing,2,6
5632,boxy,2,5
5633,boy,1,2
5634,boycott,2,5
5635,boycotted,3,7
5636,boycotting,3,7
5637,boycotts,2,6
5638,Boyer,2,3
5639,boyfriend,2,7
5640,boyfriends,2,8
5641,boyfriends,2,7
5642,boyhood,2,5
5643,boyish,2,4
5644,boys,1,3
5645,bozo,2,4
5646,bozos,2,5
5647,bra,1,3
5648,Brace,1,4
5649,braced,1,5
5650,bracelet,2,7
5651,bracelets,2,8
5652,bracer,2,5
5653,bracero,3,7
5654,braces,2,6
5655,braces,2,6
5656,brach,1,4
5657,bracing,2,6
5658,Brack,1,4
5659,Bracken,2,6
5660,bracket,2,6
5661,brackets,2,7
5662,brackets,2,7
5663,brackish,2,6
5664,Brad,1,4
5665,Bradycardia,5,11
5666,Bradycardia,5,11
5667,brae,1,3
5668,brag,1,4
5669,braggadocio,5,10
5670,bragged,1,5
5671,bragger,2,5
5672,bragging,2,6
5673,brags,1,5
5674,Brahm,1,4
5675,Brahmin,2,6
5676,Brahms,1,5
5677,braid,1,4
5678,braided,2,6
5679,braiding,2,6
5680,braids,1,5
5681,Braille,1,4
5682,brain,1,4
5683,brainchild,2,8
5684,brained,1,5
5685,brainer,2,5
5686,brainless,2,7
5687,brainpower,3,7
5688,brains,1,5
5689,brainstorm,2,9
5690,brainstorming,3,11
5691,brainstorms,2,10
5692,brainwash,2,7
5693,brainwashed,2,8
5694,brainwashes,3,9
5695,brainwashing,3,9
5696,brainy,2,5
5697,braised,1,5
5698,brake,1,4
5699,braked,1,5
5700,brakeman,2,7
5701,brakemen,2,7
5702,brakes,1,5
5703,braking,2,6
5704,bran,1,4
5705,branch,1,5
5706,branched,1,6
5707,branches,2,7
5708,branches,2,7
5709,branching,2,7
5710,brand,1,5
5711,branded,2,7
5712,Brander,2,6
5713,branding,2,7
5714,brandish,2,7
5715,brandished,2,8
5716,brandishing,3,9
5717,Brandon,2,7
5718,brands,1,6
5719,brandy,2,6
5720,Brandywine,3,9
5721,brank,1,5
5722,Branner,2,5
5723,Brannigan,3,8
5724,Branning,2,6
5725,Brant,1,5
5726,bras,1,4
5727,bras,1,4
5728,brash,1,4
5729,Brasher,2,5
5730,brashness,2,7
5731,Brasil,2,6
5732,Brasil,2,6
5733,Brasilia,3,8
5734,Brasilia,3,8
5735,brass,1,4
5736,Brasserie,3,6
5737,brasses,2,6
5738,brassy,2,5
5739,brat,1,4
5740,brats,1,5
5741,Brattle,2,6
5742,bratwurst,2,8
5743,bravado,3,7
5744,brave,1,4
5745,braved,1,5
5746,bravely,2,6
5747,braver,2,5
5748,bravery,3,6
5749,braves,1,5
5750,bravest,2,7
5751,braving,2,6
5752,Bravo,2,5
5753,brawl,1,4
5754,brawling,2,6
5755,brawls,1,5
5756,brawn,1,4
5757,Brawner,2,5
5758,brawny,2,5
5759,Bray,1,3
5760,brazen,2,6
5761,brazenly,3,8
5762,brazier,3,6
5763,Braziers,2,6
5764,Brazil,2,6
5765,Brazilian,3,9
5766,Brazilians,3,10
5767,breach,1,4
5768,breached,1,5
5769,breaches,2,6
5770,breaching,2,6
5771,bread,1,4
5772,breadbasket,3,10
5773,breadbox,2,8
5774,breaded,2,6
5775,breadfruit,2,8
5776,breading,2,6
5777,breads,1,5
5778,breadth,1,5
5779,breadwinner,3,8
5780,breadwinners,3,9
5781,break,1,4
5782,breakable,3,8
5783,breakage,2,6
5784,breakaway,3,7
5785,breakdown,2,7
5786,breakdowns,2,8
5787,breaker,2,5
5788,breakers,2,6
5789,breakfast,2,8
5790,breakfasts,2,9
5791,breaking,2,6
5792,breakneck,2,7
5793,breakout,2,6
5794,breakouts,2,7
5795,breaks,1,5
5796,breakthrough,2,7
5797,breakthroughs,2,8
5798,breakup,2,6
5799,breakups,2,7
5800,breakwater,3,8
5801,breast,1,5
5802,breasted,2,7
5803,breasted,2,7
5804,breastfed,2,8
5805,breastfeed,2,8
5806,breastfeeding,3,10
5807,breastplate,2,9
5808,breasts,1,6
5809,breath,1,4
5810,breathe,1,4
5811,breathed,1,5
5812,breather,2,5
5813,breathes,1,5
5814,breathing,2,6
5815,breathless,2,7
5816,breathlessly,3,9
5817,breaths,1,5
5818,breathtaking,3,9
5819,breathtakingly,4,11
5820,breathy,2,5
5821,Brecht,1,5
5822,Breck,1,4
5823,bred,1,4
5824,Bree,1,3
5825,breech,1,4
5826,breed,1,4
5827,breeder,2,5
5828,breeders,2,6
5829,breeding,2,6
5830,breeds,1,5
5831,breeze,1,4
5832,breezed,1,5
5833,breezes,2,6
5834,breezeway,2,6
5835,breezy,2,5
5836,Bren,1,4
5837,Brent,1,5
5838,Brest,1,5
5839,Bret,1,4
5840,brethren,2,7
5841,Breton,2,6
5842,Brett,1,4
5843,brevity,3,7
5844,brew,1,3
5845,brewed,1,4
5846,Brewer,2,4
5847,Breweries,3,6
5848,Breweries,2,6
5849,Brewers,2,5
5850,brewery,3,5
5851,brewing,2,5
5852,brews,1,4
5853,Brewster,2,6
5854,Brezhnev,2,7
5855,Brezhnev,2,7
5856,Brian,2,5
5857,Briar,2,4
5858,bribe,1,4
5859,bribed,1,5
5860,bribery,3,6
5861,bribes,1,5
5862,bribing,2,6
5863,brick,1,4
5864,Brickbat,2,7
5865,brickbats,2,8
5866,Bricker,2,5
5867,bricklayer,3,7
5868,bricklayers,3,8
5869,Brickle,2,6
5870,bricks,1,5
5871,brickyard,2,8
5872,bridal,2,6
5873,bride,1,4
5874,bridegroom,2,8
5875,brides,1,5
5876,bridesmaid,2,8
5877,bridesmaids,2,9
5878,bridge,1,4
5879,bridged,1,5
5880,bridgehead,2,7
5881,Bridgeman,2,7
5882,Bridgeport,2,8
5883,Bridger,2,5
5884,bridges,2,6
5885,bridges,2,6
5886,Bridgewater,3,8
5887,bridging,2,6
5888,bridle,2,6
5889,bridled,2,7
5890,Brie,1,3
5891,brief,1,4
5892,briefcase,2,7
5893,briefcases,3,9
5894,briefed,1,5
5895,briefest,2,7
5896,briefing,2,6
5897,briefings,2,7
5898,briefly,2,6
5899,briefs,1,5
5900,Brier,2,4
5901,brig,1,4
5902,brigade,2,6
5903,brigade,2,6
5904,Brigades,2,7
5905,Brigadier,3,8
5906,bright,1,4
5907,brighten,2,6
5908,brightened,2,7
5909,brightening,3,8
5910,brightening,2,7
5911,brightens,2,7
5912,brighter,2,5
5913,brightest,2,7
5914,brightly,2,6
5915,brightness,2,7
5916,Brill,1,4
5917,brilliance,2,8
5918,brilliant,2,8
5919,brilliantly,3,10
5920,brim,1,4
5921,Brimmer,2,5
5922,brimming,2,6
5923,brimstone,2,8
5924,Brin,1,4
5925,brindle,2,7
5926,brine,1,4
5927,bring,1,4
5928,bringing,2,6
5929,brings,1,5
5930,brining,2,6
5931,brink,1,5
5932,Brinks,1,6
5933,brinksmanship,3,12
5934,brio,2,4
5935,brioche,2,5
5936,brioche,2,5
5937,Brisbane,2,7
5938,brisk,1,5
5939,brisket,2,7
5940,briskly,2,7
5941,brisky,2,6
5942,bristle,2,6
5943,bristled,2,7
5944,bristles,2,7
5945,bristling,3,8
5946,bristling,2,7
5947,Bristol,2,7
5948,Brit,1,4
5949,Britain,2,6
5950,Britannia,4,8
5951,Britannica,4,9
5952,britches,2,6
5953,Brite,1,4
5954,British,2,6
5955,Briton,2,6
5956,Britons,2,7
5957,Brits,1,5
5958,Britt,1,4
5959,Britten,2,6
5960,brittle,2,6
5961,bro,1,3
5962,broach,1,4
5963,broached,1,5
5964,broaches,2,6
5965,broaching,2,6
5966,broad,1,4
5967,broadband,2,8
5968,broadcast,2,8
5969,broadcaster,3,9
5970,broadcasters,3,10
5971,broadcasting,3,10
5972,broadcasts,2,7
5973,broadcasts,2,8
5974,broadcasts,2,9
5975,broaden,2,6
5976,broadened,2,7
5977,broadening,3,8
5978,broadening,2,7
5979,broadens,2,7
5980,broader,2,5
5981,broadest,2,7
5982,broadly,2,6
5983,broadside,2,7
5984,broadsided,3,9
5985,Broadsword,2,8
5986,Broadway,2,6
5987,brobdingnagian,5,13
5988,brocade,2,6
5989,brocades,2,7
5990,broccoli,3,7
5991,broccoli,2,6
5992,brochure,2,6
5993,brochures,2,7
5994,Brock,1,4
5995,Brod,1,4
5996,Brodie,2,5
5997,Brogan,2,6
5998,broil,1,4
5999,broiled,1,5
6000,broiler,2,5
6001,broiling,2,6
6002,broke,1,4
6003,broken,2,6
6004,broker,2,5
6005,brokerage,3,7
6006,brokerage,2,7
6007,brokerages,4,9
6008,brokerages,3,9
6009,brokered,2,6
6010,brokering,3,7
6011,brokers,2,6
6012,brolly,2,5
6013,bromide,2,6
6014,bromides,2,7
6015,Bromine,2,6
6016,bronc,1,5
6017,bronchial,3,8
6018,bronchitis,3,9
6019,Bronco,2,6
6020,Broncos,2,7
6021,brontosaurus,4,10
6022,brontosaurus,4,11
6023,Bronx,1,6
6024,bronze,1,5
6025,bronzed,1,6
6026,bronzes,2,7
6027,bronzes,2,7
6028,brooch,1,4
6029,brooch,1,4
6030,brood,1,4
6031,brooded,2,6
6032,brooding,2,6
6033,broody,2,5
6034,brook,1,4
6035,brooking,2,6
6036,Brooklyn,2,7
6037,Brooklyn,2,7
6038,Brooks,1,5
6039,broom,1,4
6040,brooms,1,5
6041,broomstick,2,8
6042,broomsticks,2,9
6043,broth,1,4
6044,brothel,2,6
6045,brothels,2,7
6046,brother,2,5
6047,brotherhood,3,8
6048,brotherly,3,7
6049,brothers,2,6
6050,broths,1,5
6051,Brough,1,3
6052,Brougham,2,6
6053,brought,1,4
6054,brouhaha,3,7
6055,brow,1,3
6056,browbeat,2,6
6057,Brown,1,4
6058,browned,1,5
6059,Browner,2,5
6060,Brownie,2,5
6061,brownies,2,6
6062,Browning,2,6
6063,brownish,2,6
6064,brownout,2,6
6065,brownouts,2,7
6066,browns,1,5
6067,brownstone,2,8
6068,brows,1,4
6069,browse,1,4
6070,browser,2,5
6071,browsers,2,6
6072,browsing,2,6
6073,Bruce,1,4
6074,Bruin,2,5
6075,Bruins,2,6
6076,bruise,1,4
6077,bruised,1,5
6078,bruises,2,6
6079,bruises,2,6
6080,bruising,2,6
6081,brunch,1,5
6082,brunches,2,7
6083,brunet,2,6
6084,brunette,2,6
6085,brunettes,2,7
6086,Brunswick,2,8
6087,brunt,1,5
6088,brush,1,4
6089,brushed,1,5
6090,brushes,2,6
6091,brushfire,2,7
6092,brushing,2,6
6093,brushwork,2,7
6094,brusque,1,5
6095,brussel,2,6
6096,Brussels,2,7
6097,Brut,1,4
6098,brutal,2,6
6099,brutalities,4,10
6100,brutality,4,9
6101,brutality,4,9
6102,brutalize,3,8
6103,brutalized,3,9
6104,brutalizes,4,10
6105,brutalizing,4,10
6106,brutally,3,7
6107,brute,1,4
6108,brutish,2,6
6109,Brutus,2,6
6110,Bryan,2,5
6111,Bt,2,4
6112,bub,1,3
6113,Bubba,2,4
6114,bubble,2,5
6115,bubbled,2,6
6116,bubbles,2,6
6117,bubbling,3,7
6118,bubbling,2,6
6119,bubbly,3,6
6120,bubbly,2,5
6121,bubonic,3,8
6122,buccal,2,6
6123,buccaneer,3,7
6124,Buccaneers,3,8
6125,Buchanan,3,8
6126,Bucharest,3,7
6127,Bucharest,3,8
6128,Buck,1,3
6129,bucked,1,4
6130,bucket,2,5
6131,bucket,2,5
6132,buckets,2,6
6133,buckeye,2,4
6134,Buckeyes,2,5
6135,Buckhorn,2,7
6136,bucking,2,5
6137,Buckland,2,7
6138,buckle,2,5
6139,buckled,2,6
6140,Buckler,3,6
6141,Buckler,2,5
6142,buckles,2,6
6143,buckling,2,6
6144,bucko,2,4
6145,bucks,1,4
6146,buckshot,2,6
6147,buckskin,2,7
6148,buckskins,2,8
6149,Buckwheat,2,6
6150,Bucky,2,4
6151,bucolic,3,8
6152,Bud,1,3
6153,Budapest,3,8
6154,Budapest,3,8
6155,Buddha,2,4
6156,Buddhism,3,7
6157,Buddhist,2,6
6158,Buddhists,2,5
6159,Buddhists,2,6
6160,Buddhists,2,7
6161,buddie,2,4
6162,buddies,2,5
6163,budding,2,5
6164,buddy,2,4
6165,budge,1,3
6166,budged,1,4
6167,budget,2,5
6168,budgetary,4,8
6169,budgeted,3,7
6170,budgeted,3,7
6171,budgeting,3,7
6172,budgets,2,6
6173,budging,2,5
6174,buds,1,4
6175,Bueno,2,5
6176,Buenos,2,6
6177,Buenos,2,6
6178,buff,1,3
6179,Buffalo,3,6
6180,buffalos,3,7
6181,buffer,2,4
6182,buffered,2,5
6183,buffering,3,6
6184,buffers,2,5
6185,buffet,2,5
6186,buffet,2,4
6187,buffeted,2,5
6188,buffeted,3,7
6189,buffeting,3,7
6190,buffeting,3,6
6191,buffets,2,6
6192,buffets,2,5
6193,buffo,2,4
6194,buffoon,2,5
6195,buffs,1,4
6196,Buffy,2,4
6197,bug,1,3
6198,bugaboo,3,6
6199,bugged,1,4
6200,bugger,2,4
6201,buggers,2,5
6202,buggies,2,5
6203,bugging,2,5
6204,buggy,2,4
6205,bugle,2,6
6206,bugles,2,7
6207,bugling,3,8
6208,bugling,2,7
6209,bugs,1,4
6210,Buick,2,5
6211,Buicks,2,6
6212,build,1,4
6213,builder,2,5
6214,builders,2,6
6215,building,2,6
6216,buildings,2,7
6217,builds,1,5
6218,buildup,2,6
6219,buildups,2,7
6220,built,1,4
6221,bulb,1,4
6222,bulbous,2,6
6223,bulbs,1,5
6224,Bulgaria,4,8
6225,Bulgarian,4,9
6226,Bulgarians,4,10
6227,bulge,1,4
6228,bulged,1,5
6229,Bulger,2,5
6230,bulges,2,6
6231,bulging,2,6
6232,bulimia,4,8
6233,bulimic,3,7
6234,bulimic,3,8
6235,bulk,1,4
6236,bulkhead,2,7
6237,bulkheads,2,8
6238,bulkier,3,6
6239,bulky,2,5
6240,bull,1,3
6241,bulla,2,4
6242,Bulldog,2,6
6243,Bulldogs,2,7
6244,bulldoze,2,6
6245,bulldozed,2,7
6246,bulldozer,3,7
6247,bulldozers,3,8
6248,bulldozes,3,8
6249,bulldozing,3,8
6250,buller,2,4
6251,bullet,2,5
6252,bulletin,3,7
6253,bulletins,3,8
6254,bulletproof,3,9
6255,bullets,2,6
6256,bullfight,2,6
6257,bullfighter,3,7
6258,bullfighting,3,8
6259,bullfights,2,7
6260,bullfrog,2,7
6261,bullfrogs,2,8
6262,Bullhead,2,6
6263,bullheads,2,7
6264,bullhorn,2,7
6265,bullhorns,2,8
6266,bullied,2,5
6267,bullies,2,5
6268,bullion,2,6
6269,bullish,2,5
6270,Bullock,2,5
6271,Bullocks,2,6
6272,bullpen,2,6
6273,bulls,1,4
6274,Bullseye,2,5
6275,bullshit,2,6
6276,bully,2,4
6277,bullying,3,6
6278,bulwark,2,6
6279,bum,1,3
6280,bumble,2,6
6281,bumbling,3,8
6282,bumbling,2,7
6283,bummed,1,4
6284,bummer,2,4
6285,bump,1,4
6286,bumped,1,5
6287,bumper,2,5
6288,bumpers,2,6
6289,bumping,2,6
6290,bumpkin,2,7
6291,bumps,1,5
6292,Bumpy,2,5
6293,bums,1,4
6294,bun,1,3
6295,bunce,1,4
6296,bunch,1,4
6297,bunched,1,5
6298,bunches,2,6
6299,bunches,2,6
6300,bunching,2,6
6301,bunchy,2,5
6302,Bund,1,4
6303,bundle,2,6
6304,bundled,2,7
6305,bundles,2,7
6306,bundling,3,8
6307,bundling,2,7
6308,Bundy,2,5
6309,Bung,1,3
6310,bungalow,3,7
6311,bungalows,3,8
6312,bungee,2,5
6313,bungled,2,7
6314,bungler,2,6
6315,bunglers,2,7
6316,bungling,3,8
6317,bungling,2,7
6318,bunk,1,4
6319,bunker,2,5
6320,bunkers,2,6
6321,bunks,1,5
6322,bunnies,2,5
6323,Bunning,2,5
6324,Bunny,2,4
6325,buns,1,4
6326,Bunt,1,4
6327,bunting,2,6
6328,Bunton,2,6
6329,Bunyan,2,6
6330,buoy,2,3
6331,buoyancy,3,6
6332,buoyant,2,5
6333,buoyed,2,4
6334,buoys,2,4
6335,bur,1,2
6336,Burbank,2,6
6337,burble,2,5
6338,burbled,2,6
6339,burbles,2,6
6340,burbling,2,6
6341,burden,2,5
6342,burdened,2,6
6343,burdens,2,6
6344,burdensome,3,8
6345,Burdon,2,5
6346,Bureau,2,5
6347,bureaucracies,4,11
6348,bureaucracy,4,10
6349,bureaucrat,3,9
6350,bureaucrat,3,9
6351,bureaucratic,4,11
6352,bureaucrats,3,10
6353,bureaucrats,3,10
6354,bureaus,2,6
6355,burg,1,3
6356,burgeoning,3,7
6357,burger,2,4
6358,burgers,2,5
6359,Burgess,2,5
6360,Burgher,2,4
6361,burglar,2,5
6362,burglaries,3,7
6363,burglarize,3,7
6364,burglarized,3,8
6365,burglars,2,6
6366,burglary,3,6
6367,burgling,2,6
6368,burgomaster,4,9
6369,Burgundian,4,9
6370,Burgundy,3,7
6371,Buri,2,4
6372,burial,3,6
6373,burials,3,7
6374,Burian,3,7
6375,buried,2,5
6376,buries,2,5
6377,Burk,1,3
6378,Burke,1,3
6379,Burkes,1,4
6380,Burks,1,4
6381,Burl,1,3
6382,burlap,2,5
6383,burlesque,2,6
6384,Burley,2,4
6385,burly,2,4
6386,Burma,2,4
6387,Burmese,2,5
6388,burn,1,3
6389,burned,1,4
6390,burner,2,4
6391,burners,2,5
6392,burning,2,5
6393,burnings,2,6
6394,burnished,2,6
6395,burnout,2,5
6396,Burns,1,4
6397,Burnside,2,6
6398,burnt,1,4
6399,burp,1,3
6400,burping,2,5
6401,Burr,1,2
6402,burrito,3,5
6403,burritos,3,6
6404,burro,2,3
6405,burros,2,4
6406,Burroughs,2,5
6407,Burroughs,2,4
6408,burrow,2,3
6409,burrower,3,4
6410,burrowing,3,5
6411,Burrows,2,4
6412,burry,2,3
6413,burse,1,3
6414,burst,1,4
6415,bursting,2,6
6416,bursts,1,5
6417,Burt,1,3
6418,Burton,2,5
6419,Burundi,3,6
6420,bury,2,4
6421,burying,3,6
6422,bus,1,3
6423,busboy,2,5
6424,busboys,2,6
6425,Busby,2,5
6426,bused,1,4
6427,buses,2,5
6428,bush,1,3
6429,bushel,2,5
6430,bushels,2,6
6431,busher,2,4
6432,bushes,2,5
6433,bushings,2,6
6434,Bushman,2,6
6435,Bushmen,2,6
6436,bushwhack,2,6
6437,bushwhacked,2,7
6438,bushwhacking,3,8
6439,bushy,2,4
6440,busied,2,5
6441,busier,3,5
6442,busiest,3,7
6443,busily,3,6
6444,business,2,6
6445,business,2,6
6446,businesses,3,8
6447,businesses,3,8
6448,businesslike,3,9
6449,businessman,3,9
6450,businessman,3,9
6451,businessmen,3,9
6452,businessperson,4,11
6453,businesswoman,4,11
6454,businesswomen,4,11
6455,busing,2,5
6456,busload,2,6
6457,busloads,2,7
6458,buss,1,3
6459,bussed,1,4
6460,busses,2,5
6461,bussing,2,5
6462,bust,1,4
6463,bustard,2,6
6464,busted,2,6
6465,Buster,2,5
6466,busters,2,6
6467,bustier,2,6
6468,busting,2,6
6469,bustle,2,5
6470,bustling,3,7
6471,bustling,2,6
6472,Busto,2,5
6473,busts,1,5
6474,busty,2,5
6475,busy,2,4
6476,but,1,3
6477,butane,2,6
6478,butane,2,6
6479,Butch,1,3
6480,butcher,2,4
6481,butchered,2,5
6482,butchering,3,6
6483,butchers,2,5
6484,butchery,3,5
6485,butler,2,5
6486,butlers,2,6
6487,buts,1,4
6488,butt,1,3
6489,Butte,1,4
6490,butter,2,4
6491,butterball,3,7
6492,butterballs,3,8
6493,Buttercup,3,7
6494,buttercups,3,8
6495,buttered,2,5
6496,butterfat,3,7
6497,butterflies,3,8
6498,butterfly,3,7
6499,buttering,3,6
6500,buttermilk,3,8
6501,Butters,2,5
6502,butterscotch,3,8
6503,buttery,3,5
6504,butting,2,5
6505,buttock,2,5
6506,buttocks,2,6
6507,button,2,5
6508,buttoned,2,6
6509,buttonhole,3,8
6510,buttonholed,3,9
6511,buttonholes,3,9
6512,buttons,2,6
6513,buttress,2,6
6514,buttressed,2,7
6515,buttresses,3,8
6516,buttresses,3,8
6517,buttressing,3,8
6518,butts,1,4
6519,buxom,2,6
6520,buy,1,2
6521,buyer,2,3
6522,buyers,2,4
6523,buying,2,4
6524,buyout,2,4
6525,buyouts,2,5
6526,buys,1,3
6527,Buzz,1,3
6528,buzzard,2,5
6529,buzzards,2,6
6530,buzzed,1,4
6531,buzzer,2,4
6532,buzzes,2,5
6533,buzzing,2,5
6534,buzzword,2,6
6535,buzzwords,2,7
6536,Buzzy,2,4
6537,by,1,2
6538,Bye,1,2
6539,bygone,2,5
6540,bygones,2,6
6541,bylaw,2,4
6542,bylaws,2,5
6543,byline,2,5
6544,bylines,2,6
6545,bypass,2,5
6546,bypassed,2,6
6547,bypasses,3,7
6548,bypassing,3,7
6549,byproduct,3,9
6550,byproducts,3,10
6551,Byron,2,5
6552,bystander,3,8
6553,bystanders,3,9
6554,byte,1,3
6555,Bytes,1,4
6556,byway,2,4
6557,byways,2,5
6558,byword,2,5
6559,Byzantine,3,8
6560,Byzantine,3,8
6561,Byzantium,4,9
6562,C,1,2
6563,Ca,1,2
6564,Ca,1,2
6565,Ca,2,3
6566,cab,1,3
6567,caba,2,4
6568,cabal,2,5
6569,caballero,4,8
6570,cabana,3,6
6571,cabanas,3,7
6572,cabaret,3,5
6573,cabarets,3,6
6574,cabbage,2,5
6575,cabbage,2,5
6576,cabbages,3,7
6577,cabbie,2,4
6578,cabbies,2,5
6579,cabby,2,4
6580,cabdriver,3,8
6581,cabdrivers,3,9
6582,cabernet,3,6
6583,cabernets,3,8
6584,cabernets,3,7
6585,cabin,2,5
6586,cabinet,3,7
6587,cabinet,2,6
6588,cabinets,3,8
6589,cabinets,2,7
6590,cabins,2,6
6591,cable,2,5
6592,cabled,2,6
6593,cablegram,3,9
6594,cables,2,6
6595,caboodle,3,7
6596,caboose,2,5
6597,cabooses,3,7
6598,Cabot,2,5
6599,Cabriolet,4,9
6600,Cabriolet,4,8
6601,cabs,1,4
6602,cacciatore,4,8
6603,cache,1,3
6604,cache,2,4
6605,caches,2,5
6606,caches,2,5
6607,cachet,2,4
6608,caching,2,5
6609,Cacique,2,5
6610,cackle,2,5
6611,cackling,3,7
6612,cackling,2,6
6613,cacophony,4,8
6614,cacti,2,5
6615,cacti,2,5
6616,cactus,2,6
6617,cad,1,3
6618,cadaver,3,6
6619,cadavers,3,7
6620,caddies,2,5
6621,caddy,2,4
6622,Cade,1,3
6623,cadence,2,6
6624,cadences,3,8
6625,cadet,2,5
6626,cadets,2,6
6627,Cadillac,3,7
6628,Cadillacs,3,8
6629,cadmium,3,7
6630,cadre,2,5
6631,cadres,2,6
6632,cads,1,4
6633,Cadwell,2,6
6634,Cady,2,4
6635,Caesar,2,4
6636,Caesarean,3,6
6637,Caesareans,3,7
6638,cafe,2,4
6639,cafe,2,4
6640,cafes,2,5
6641,cafeteria,5,9
6642,cafeterias,5,10
6643,caffeine,2,5
6644,caftan,2,6
6645,caftans,2,7
6646,cage,1,3
6647,caged,1,4
6648,cages,2,5
6649,cagey,2,4
6650,Cahill,2,5
6651,cahoot,2,5
6652,cahoots,2,6
6653,Cai,1,2
6654,Cain,1,3
6655,cairn,1,4
6656,cairns,1,5
6657,Cairo,2,4
6658,caisson,2,5
6659,caisson,2,5
6660,caissons,2,6
6661,caissons,2,6
6662,cajole,2,5
6663,cajoled,2,6
6664,cajoling,3,7
6665,Cajun,2,5
6666,Cajuns,2,6
6667,cake,1,3
6668,caked,1,4
6669,cakes,1,4
6670,Cal,1,3
6671,Calabrese,4,9
6672,Calais,2,4
6673,calamari,4,8
6674,calamine,3,7
6675,calamities,4,9
6676,calamitous,4,9
6677,Calamity,4,8
6678,Calamity,4,8
6679,calcified,3,8
6680,calcify,3,7
6681,calcite,2,6
6682,calcium,3,7
6683,calculate,3,9
6684,calculated,4,11
6685,calculated,4,11
6686,calculates,3,10
6687,calculating,4,11
6688,calculation,4,11
6689,calculations,4,12
6690,calculator,4,10
6691,calculators,4,11
6692,calculus,3,9
6693,Calcutta,3,7
6694,caldera,3,7
6695,caldera,3,7
6696,Calderon,3,7
6697,Calderon,3,7
6698,calendar,3,7
6699,calendars,3,8
6700,calendula,4,8
6701,calf,1,3
6702,Calgary,3,6
6703,Calgon,2,6
6704,caliber,3,6
6705,calibrate,3,8
6706,calibrated,4,10
6707,calibration,4,10
6708,calico,3,6
6709,Calif,4,10
6710,Calif,2,5
6711,California,4,10
6712,Californian,4,11
6713,Californians,4,12
6714,calipers,3,7
6715,caliph,2,5
6716,calisthenics,4,11
6717,call,1,3
6718,calla,2,4
6719,Callan,2,5
6720,Callas,2,5
6721,called,1,4
6722,caller,2,4
6723,callers,2,5
6724,calles,1,4
6725,calligrapher,4,9
6726,calligraphic,4,10
6727,calligraphy,4,9
6728,calling,2,5
6729,calliope,4,7
6730,callous,2,5
6731,calloused,2,6
6732,callously,3,7
6733,callousness,3,8
6734,callow,2,4
6735,calls,1,4
6736,callus,2,5
6737,calm,1,4
6738,calm,1,3
6739,calmed,1,5
6740,calmed,1,4
6741,calmer,2,5
6742,calmer,2,4
6743,Calmest,2,7
6744,Calmest,2,6
6745,calming,2,6
6746,calming,2,5
6747,calmly,2,6
6748,calmly,2,5
6749,calmness,2,7
6750,calmness,2,6
6751,calms,1,5
6752,calms,1,4
6753,calor,2,4
6754,caloric,3,7
6755,calorie,3,5
6756,calories,3,6
6757,Calumet,3,8
6758,Calvary,3,6
6759,calves,1,4
6760,Calvin,2,6
6761,Calvin,2,6
6762,Calving,2,5
6763,Calvinist,3,9
6764,Calvinist,3,9
6765,Calypso,3,7
6766,calypsos,3,8
6767,Cam,1,3
6768,Camara,3,6
6769,camaraderie,5,8
6770,Cambodia,4,8
6771,Cambodian,4,9
6772,Cambodians,4,10
6773,cambrian,3,8
6774,Cambridge,2,7
6775,camcorder,3,8
6776,camcorders,3,9
6777,Camden,2,6
6778,came,1,3
6779,camel,2,5
6780,Camelot,3,7
6781,camels,2,6
6782,cameo,3,5
6783,cameos,3,6
6784,camera,3,5
6785,camera,2,5
6786,cameraman,4,8
6787,cameramen,4,8
6788,cameras,3,6
6789,cameras,2,6
6790,Cameroon,3,6
6791,Camilla,3,6
6792,Camino,3,6
6793,Camorra,3,6
6794,camouflage,3,8
6795,camouflaged,3,9
6796,camouflaging,4,10
6797,camp,1,4
6798,campaign,2,6
6799,campaigned,2,7
6800,campaigner,3,7
6801,campaigners,3,8
6802,campaigning,3,8
6803,campaigns,2,7
6804,Campanella,4,9
6805,Campbell,2,6
6806,camped,1,5
6807,camper,2,5
6808,campers,2,6
6809,campesinos,4,10
6810,campfire,3,7
6811,campfires,3,8
6812,campground,2,9
6813,Campgrounds,2,10
6814,camping,2,6
6815,Campion,3,7
6816,Campo,2,5
6817,Campos,2,6
6818,camps,1,5
6819,campsite,2,8
6820,campsites,2,8
6821,campus,2,6
6822,campuses,3,8
6823,campuses,3,8
